Date,Open,High,Low,Close,Volume
2016-04-12,173.5031796002762,175.22784535626184,173.06138940275196,174.94747924804688,115350600
2016-04-13,175.86497981731708,176.7995332047263,175.7290424221115,176.71456909179688,96336400
2016-04-14,176.77408501195208,177.22436638826628,176.37477692900077,176.7230987548828,65212900
2016-04-15,176.72312719696814,176.85906464361813,176.20487702485997,176.52772521972656,75761600
2016-04-18,176.52770580484832,177.80209005868852,175.86502702994795,177.7681121826172,82531000
2016-04-19,178.19291768689132,178.583721621976,177.5132434510871,178.32884216308594,88316100
2016-04-20,178.3713025834669,179.19540538775044,177.89553456526323,178.49874877929688,81100300
2016-04-21,178.5157495899329,178.62620037826784,177.26685193188004,177.53872680664062,85695000
2016-04-22,177.18190075629803,177.81058871769366,176.6381639704844,177.53872680664062,99251700
2016-04-25,176.9354724059331,177.2753159223156,176.3237670401492,177.2328338623047,66166500
2016-04-26,177.59811659722612,178.00592873775352,177.0204021770321,177.4961700439453,75864200
2016-04-27,177.11392933514873,178.25237618749588,176.75710329025068,177.861572265625,77329400
2016-04-28,177.1054386906577,178.2098947059655,175.83105439880347,176.24734497070312,97216200
2016-04-29,175.62723800417376,175.97557299992962,174.1914288940161,175.2958984375,142424100
2016-05-02,175.79707628758385,176.86755450332075,175.36379026391356,176.68914794921875,62188000
2016-05-03,175.45723519883327,175.6951192326224,174.4037395036904,175.15138244628906,106422100
2016-05-04,174.1573034376929,174.8879507045841,173.67303134702755,174.17428588867188,92243800
2016-05-05,174.6416509133861,174.99847702000395,173.71560128213667,174.14039611816406,67619200
2016-05-06,173.36722052062296,174.82002417935882,173.21430064270663,174.7775421142578,89315000
2016-05-09,174.65010467730497,175.35525249343715,174.4716851936592,174.92196655273438,74374900
2016-05-10,175.62715279540032,177.1139345077505,175.55918407576223,177.09693908691406,77472200
2016-05-11,176.63815562661793,177.17338819499523,175.4402313232422,175.4402313232422,81727000
2016-05-12,176.1114229761982,176.28135126764383,174.48021249524697,175.49122619628906,89586300
2016-05-13,175.19385974889587,175.74608774865698,173.63910937941026,173.96194458007812,96474600
2016-05-16,174.131839446247,176.15385329050272,174.07236196897537,175.67808532714844,77486800
2016-05-17,175.40623054490612,175.69508782519827,173.51163687801912,174.03839111328125,114924900
2016-05-18,173.69009311162262,175.27033022442657,173.00192763670458,174.0894012451172,120062100
2016-05-19,173.36724877245652,173.77504814372764,172.279775139928,173.48619079589844,115430500
2016-05-20,174.0978962928205,175.1004187447686,174.0469229918874,174.58216857910156,104990400
